ID	Nome	Tipo	Material	Datação	Escola ou movimento	Autoria	TIpo de produção	Técnica de Composição	Materiais	Estético	Técnicas de construção/Funcionalidades
95	Cadeira Musikzimmer	Design de Mobiliário	Madeira e Couro	1899	Jugendstil	Richard Riemerschmid	Design Assinado	Projetada pelo arquiteto e designer alemão Richard Riemerschmid para a Exposição Alemã de Arte em Dresden, a cadeira Musikzimmer (Sala de Música) é um marco indiscutível no design de mobiliário moderno. Rejeitando as tendências revivalistas que haviam caracterizado o design durante a segunda metade do século XIX, os designers Jugendstil propunham o uso de formas naturais como forma de renovar o design e, com ele, a sociedade. Produzida em colaboração com as recém-criadas oficinas de artesanato, que fabricavam produtos através de sistemas de produção éticos, a obra rompe com a tradição ornamental. A cadeira exibe uma simplicidade nas formas e uma surpreendente modernidade através do seu dinamismo estrutural orgânico, onde o encosto flui diretamente para os braços e pernas de forma contínua. Antecipando a fase pós-1900, em que os designs adotaram formas mais abstratas e dinâmicas, e com leve influência do estilo autóctone da região, Riemerschmid uniu com maestria a racionalidade construtiva à beleza da natureza.	Madeira, Couro	Minimalista, Abstrato, Dinâmico, Fluido, Linhas contínuas, Estrutural, Orgânico	Marcenaria, Curvatura de madeira, Estofamento, Encaixe
96	Escrivaninha	Design de Mobiliário	Madeira, Cobre e Couro	1899	Jugendstil	Henry van de Velde	Design Assinado	Criada pelo influente arquiteto belga Henry van de Velde, cuja filosofia acreditava firmemente na importância da educação artística para melhorar a qualidade de vida, esta escrivaninha é uma peça fundamental na evolução do mobiliário do Jugendstil. Rejeitando as tendências revivalistas que haviam caracterizado o design durante a segunda metade do século XIX, os designers do movimento propunham o uso de formas naturais como forma de renovar o design e, com ele, a sociedade. A obra marca a nítida transição para a fase em que os projetos abandonaram o excesso da arte floral e os designs adotaram formas mais abstratas e dinâmicas. O móvel exibe uma admirável simplicidade nas formas e uma surpreendente modernidade através de sua estrutura robusta percorrida por nervuras e contornos tensionados que expressam a própria força dos materiais. Empregando princípios rigorosos que mais tarde ele levaria para a direção da Weimar Kunstgewerbeschule, Van de Velde concebeu o móvel como um organismo unificado, onde até mesmo as ferragens integram o ritmo linear da composição.	Madeira, Cobre, Latão, Couro	Minimalista, Abstrato, Dinâmico, Linear, Linhas contínuas, Estrutural, Geométrico, Orgânico	Marcenaria, Entalhe, Fundição, Estofamento
97	Poltrona "Sitzmaschine"	Design de Mobiliário	Madeira curvada e Metal	1905	Jugendstil	Josef Hoffmann	Design Assinado	Projetada pelo arquiteto austríaco Josef Hoffmann, a poltrona "Sitzmaschine" (Máquina de Sentar) é uma obra-prima intimamente associada à Secessão Vienense e às Wiener Werkstätte. Rejeitando as tendências revivalistas que haviam caracterizado o design durante a segunda metade do século XIX, os designers Jugendstil propunham o uso de formas naturais como forma de renovar o design e, com ele, a sociedade. Refletindo fortemente a fase do movimento a partir de 1900, onde os designs adotaram formas mais abstratas e dinâmicas, a peça abandona a tradicional arte floral em favor de uma expressão geométrica e mecânica. Fabricada em madeira curvada com um engenhoso sistema de encosto ajustável, a cadeira exibe uma impressionante simplicidade nas formas e uma surpreendente modernidade ao revelar sua estrutura e mecanismos funcionais de maneira honesta. Os elementos ortogonais, os painéis laterais vazados e as proporções cúbicas antecipam o rigor funcional do design industrial do século XX.	Madeira, Metal	Minimalista, Abstrato, Dinâmico, Geométrico, Mecânico, Estrutural, Ortogonal	Marcenaria, Curvatura de madeira, Montagem mecânica, Produção semi-industrial
98	Cadeira de Jantar da Haus Behrens	Design de Mobiliário	Madeira e Couro	1901	Jugendstil	Peter Behrens	Design Assinado	Projetada pelo arquiteto e designer Peter Behrens para a sala de jantar de sua própria residência na Colônia de Artistas de Darmstadt, esta cadeira é um reflexo claro da transição estilística germânica. Rejeitando as tendências revivalistas que haviam caracterizado o design durante a segunda metade do século XIX, os designers Jugendstil propunham o uso de formas naturais como forma de renovar o design e, com ele, a sociedade. Refletindo fortemente a fase a partir de 1900, em que os designs adotaram formas mais abstratas e dinâmicas, Behrens desenhou uma peça estruturalmente rigorosa que abandona a antiga ênfase na arte floral. A obra exibe uma admirável simplicidade nas formas e uma surpreendente modernidade, incorporando traços do estilo autóctone da região em sua construção e acabamento cromático contrastante. Concebida dentro de um projeto conceitual global (Gesamtkunstwerk), a cadeira alia linhas alongadas, curvas sutis e racionalidade ortogonal à harmonia do ambiente doméstico moderno.	Madeira, Couro	Minimalista, Abstrato, Dinâmico, Geométrico, Vertical	Marcenaria, Pintura, Estofamento
99	Armário Vitrine	Design de Mobiliário	Madeira, Vidro e Metal	1900	Jugendstil	Bernhard Pankok	Produção industrial	Criado pelo artista alemão Bernhard Pankok, cofundador das oficinas unidas de artes e ofícios em Munique, este armário foi um dos grandes destaques da Exposição Universal de Paris. Rejeitando as tendências revivalistas que haviam caracterizado o design durante a segunda metade do século XIX, os designers Jugendstil propunham o uso de formas naturais como forma de renovar o design e, com ele, a sociedade. Fabricada por oficinas de artesanato fundadas em diferentes partes da Alemanha para fabricar produtos domésticos por meio de sistemas de produção que atendiam a critérios éticos, a peça exibe uma notável simplicidade nas formas e uma surpreendente modernidade. O móvel ilustra o momento de transição exato na virada do século, onde a antiga arte floral deu lugar a projetos em que os designs adotaram formas mais abstratas e dinâmicas. As vigorosas molduras de madeira estrutural parecem brotar do solo, curvando-se para emoldurar as vitrines de vidro com uma fluidez orgânica e tensionada, criando uma fusão perfeita entre a função utilitária do móvel e o dinamismo da biologia abstrata.	Madeira, Vidro, Cobre, Latão	Minimalista, Abstrato, Dinâmico, Fluido, Orgânico, Biomórfico, Linear, Escultural, Liso	Marcenaria, Entalhe, Encaixe, Fabricação artesanal
100	Cadeira para sala de música	Design de Mobiliário	Madeira e Couro	1899	Jugendstil	Richard Riemerschmid	Design Assinado	Projetada pelo arquiteto e designer alemão Richard Riemerschmid, a cadeira para sala de música é um marco indiscutível no design de mobiliário moderno e uma ponte entre o Jugendstil e os futuros ideais da Deutscher Werkbund. Diferente de abordagens anteriores que mantinham as formas artesanais complexas (o que encarecia os produtos), a premissa de Riemerschmid era oferecer qualidade através de uma racionalidade construtiva. O design exibe uma simplicidade estrutural e funcionalidade surpreendentes, onde a estrutura de madeira flui de forma orgânica, mas já submetida à disciplina e ao planejamento. A obra evidencia a transição para a racionalização do design, unindo o dinamismo da biologia abstrata à robustez mecânica que permitiria o acesso do usuário médio ao consumo por meio da futura produção em série.	Madeira, Couro	Minimalista, Estrutural, Funcional, Dinâmico, Orgânico, Fluido, Linhas contínuas, Abstrato, Mecânico	Marcenaria, Curvatura de madeira, Estofamento
101	Cômoda de faia	Design de Mobiliário	Madeira de faia e Metal	1900	Jugendstil	Richard Riemerschmid	Design Assinado	Criada por Richard Riemerschmid na virada do século, esta cômoda de faia é um exemplo pioneiro do que viria a ser conhecido como Maschinenmöbel (Móveis de Máquina). Diferente de abordagens anteriores que mantinham as formas puramente artesanais, a premissa era oferecer qualidade através de um design projetado especificamente para a mecanização. O móvel é marcado pela extrema simplicidade estrutural e funcionalidade, abandonando a ornamentação aplicada em favor de superfícies limpas e articulações lógicas. A peça reflete o objetivo inicial que mais tarde moldaria a Werkbund: encontrar uma nova forma para os objetos de uso que derivasse diretamente da mecanização de sua produção, garantindo baixo custo e democratização do bom design.	Madeira, Metal	Minimalista, Estrutural, Funcional, Geométrico, Liso, Mecânico, Utilitário	Marcenaria, Corte mecânico, Montagem industrial, Produção seriada
102	Talheres	Design de Produto e Utensílios Domésticos	Metal (Prata ou Aço)	1912	Deutscher Werkbund	Richard Riemerschmid	Produção industrial	Projetado por Richard Riemerschmid durante a consolidação da associação, este conjunto de talheres expressa perfeitamente os postulados de racionalização do design da Deutscher Werkbund. Diferente de abordagens anteriores que valorizavam o excesso decorativo e o feitio artesanal, a premissa era oferecer qualidade através do produto industrial. Riemerschmid desenvolveu estes objetos utilitários marcados pela simplicidade estrutural e funcionalidade, submetendo a consciência artística à produção em série racionalizada. As linhas ergonômicas e puras das peças derivam diretamente da necessidade de facilitar a fabricação mecânica, atendendo ao objetivo central da associação de enobrecer o trabalho produtivo e projetar uma nova imagem cultural baseada na disciplina, na padronização e no acesso do usuário médio ao consumo moderno.	Prata, Aço	Minimalista, Estrutural, Funcional, Ergonômico, Geométrico, Fluido, Abstrato, Utilitário	Produção seriada, Estampagem, Fundição, Polimento
103	Cúpula de Vidro (Pavilhão de Vidro da Exposição de Colônia)	Arquitetura e Interiores	Concreto, Metal e Vidro	1914	Deutscher Werkbund	Bruno Taut	Produção industrial	Projetada pelo arquiteto Bruno Taut, criador da expressiva obra e pertencente ao setor "individualista" da Werkbund, a Cúpula de Vidro foi uma das maiores sensações da exposição de Colônia. Como a associação abrigava impulsos divergentes devido à presença de profissionais com interesses variados, Taut alinhava-se à oposição, liderada por Henry van de Velde, que defendia que o designer era um artista e recusava-se a abandonar a individualidade artística e a liberdade expressiva na indústria. A obra era um manifesto poético e utópico dedicado ao potencial do vidro, distanciando-se da racionalização estrita defendida pelos funcionalistas. Com sua cúpula prismática e multifacetada, a estrutura não buscava a padronização e a disciplina para a produção mecanizada de "modelos tipo", mas sim projetar uma nova imagem do espírito germânico através de uma experiência sensorial profunda, valorizando a turbulência emocional em contraposição ao planejamento rigoroso do capitalismo moderno.	Concreto, Metal, Vidro	Prismático, Translúcido, Policromático, Orgânico	Construção em concreto, Montagem estrutural, Montagem artesanal
104	Lâmpadas de Arco Voltaico da AEG	Design de Produto	Metal e Vidro	1907	Deutscher Werkbund	Peter Behrens	Produção industrial	Projetadas por Peter Behrens, o pioneiro do design global que atuou como consultor artístico da AEG, estas lâmpadas marcam o nascimento do verdadeiro design industrial e a materialização da nova escola de pensamento alemã. Diferente de abordagens anteriores que mantinham as formas artesanais (o que encarecia os produtos), a premissa de Behrens era oferecer qualidade através do produto industrial, permitindo o acesso do usuário médio ao consumo por meio da produção em massa. Atendendo perfeitamente ao programa e aos objetivos da Werkbund impulsionados por Hermann Muthesius, Behrens criou um "modelo tipo", aplicando a padronização e a disciplina para a produção mecanizada. As lâmpadas exibem uma pureza geométrica rigorosa, marcadas pela simplicidade estrutural e funcionalidade, submetendo a consciência artística à produção em série racionalizada para derivar sua beleza da própria eficiência de fabricação.	Aço, Cobre, Latão, Vidro	Minimalista, Estrutural, Funcional, Geométrico, Padronizado, Utilitário, Mecânico	Produção seriada, Estampagem, Montagem mecânica, Componentes intercambiáveis
105	Cartazes e Trabalhos Gráficos da AEG	Design Gráfico e Tipografia	Papel e Tinta	1908	Deutscher Werkbund	Peter Behrens	Design Assinado	Desenvolvidos por Peter Behrens para a empresa elétrica AEG, estes cartazes representam o primeiro programa abrangente de identidade visual corporativa da história. O autor assumiu uma visão global para a marca, unificando o design de produtos, a arquitetura fabril e o design gráfico (incluindo o logotipo) para projetar uma nova imagem do espírito germânico na cultura e na vida cotidiana. Diferente de abordagens anteriores focadas na ornamentação livre, a premissa era oferecer uma comunicação visual objetiva, geométrica e perfeitamente estruturada para refletir as exigências industriais da época. As composições materializam a campanha em favor da racionalização do design, utilizando grades matemáticas severas e tipografia exclusiva para transmitir disciplina e precisão técnica, submetendo a consciência artística ao controle e à lógica do capitalismo moderno.	Papel, Tinta	Geométrico, Padronizado, Proporcional, Tipográfico, Minimalista	Malha gráfica (grid), Litografia, Impressão fotomecânica, Composição tipográfica
